Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Lynch,684,France,Male,18,9,90544,0,1,4777.23,0
Hung,691,Spain,Male,35,6,0,0,1,178038.17,0
Oluchukwu,842,France,Male,44,3,141252.18,0,1,128521.16,1
Tuan,482,France,Female,35,5,147813.05,0,0,109029.72,0
Lewis,735,France,Male,55,6,134140.68,1,0,2267.88,0
Chidiebere,681,France,Female,63,7,0,1,1,55054.48,0
Woolacott,616,France,Female,31,8,0,0,1,76456.17,0
Yen,850,France,Female,35,2,128548.49,1,0,75478.95,1
Service,635,France,Male,43,10,122198.21,0,1,179144.54,0
Lin,638,France,Male,42,8,145177.84,1,0,193471.74,1
Chuang,820,Spain,Female,31,2,94222.53,1,0,103570.8,0
Akhtar,694,France,Female,58,1,143212.22,0,0,102628.56,1
Faulkner,713,France,Male,41,3,0,1,0,55772.04,0
Liang,543,France,Male,41,6,143350.41,1,1,192070.16,1
Dancy,649,France,Female,41,3,130931.83,1,1,144808.37,0
Duigan,777,France,Female,30,4,137851.31,1,0,5008.23,1
McLean,561,France,Male,33,6,0,0,0,173680.39,0
Zuyeva,724,Spain,Male,41,5,0,0,1,115753.94,0
Hankinson,665,Spain,Female,51,8,0,1,1,38928.48,1
Wei,441,France,Male,60,1,140614.15,0,1,174381.23,0
Afamefula,579,Spain,Male,22,3,118680.57,1,1,49829.8,0
Chiang,777,France,Male,35,7,122917.69,1,1,76169.68,0
Myers,739,France,Female,36,0,0,0,0,133465.57,0
Chinedum,660,France,Male,40,5,131754.11,1,1,38761.61,0
Ukaegbunam,554,France,Female,35,8,0,1,1,176779.46,0
Akubundu,850,France,Female,24,6,0,1,1,13159.9,0
Sal,842,France,Female,35,9,119948.09,1,0,48217.97,1
Stevenson,785,France,Female,38,1,0,1,0,134964.85,1
Sutherland,550,France,Male,25,0,0,1,1,184221.11,0
Ts'ao,750,Spain,Female,39,6,0,0,0,19264.33,0
Sung,490,Spain,Female,38,3,97266.1,1,1,92797.23,0
Pisani,605,France,Male,28,10,113690.83,1,0,33114.24,0
Hs?eh,563,Spain,Female,42,6,99056.22,1,0,154347.95,1
Sherrod,675,France,Male,34,8,0,1,1,184842.21,0
Holloway,621,Spain,Female,36,7,116338.68,1,1,155743.48,0
Newton,850,France,Male,40,6,97339.99,0,1,88815.25,0
Kang,711,France,Male,41,3,0,1,1,193747.57,0
Walton,549,France,Female,55,1,137592.31,0,1,116548.02,1
Bradley,764,France,Male,34,6,108760.27,1,0,166324.79,1
Watkins,627,France,Male,30,3,128770.88,1,1,40199.01,0
Tien,850,France,Female,34,2,0,0,0,51919.04,0
Davide,614,Spain,Female,36,1,44054.84,1,1,73329.08,0
Milne,685,France,Female,44,2,119657.53,1,0,145387.05,1
Barling,683,France,Female,49,7,108797.63,0,0,140763.18,0
Barnett,643,Spain,Male,35,2,0,0,0,67979.35,0
Ellis,561,France,Female,49,1,102025.32,1,0,133051.64,1
Hsia,601,Spain,Female,20,9,122446.61,1,0,86791.9,0
Chukwujamuike,766,France,Female,27,7,158786.67,0,1,47579.25,0
Venables,699,France,Male,29,3,125689.29,1,1,151623.71,0
Hsia,850,France,Male,29,1,154640.41,1,1,164039.51,0
Alexander,792,France,Female,50,4,146710.76,1,0,16528.4,1
Yuan,636,France,Male,67,7,136709.35,0,1,66753.1,1
Johnston,850,France,Male,43,5,129305.09,0,1,19244.58,0
Hobler,628,Spain,Male,40,10,0,1,0,103832.58,0
Jamieson,736,France,Female,63,10,0,0,1,502.7,0
Macleod,711,France,Female,21,0,82844.33,0,1,1408.68,0
Norris,583,Spain,Female,22,2,0,0,1,5985.36,0
Pirozzi,757,France,Male,46,0,0,1,0,37460.05,0
Folliero,749,France,Female,33,10,76692.22,0,1,30396.43,0
Russell,705,France,Male,34,7,117715.84,1,0,2498.67,0
Hsiung,585,France,Male,54,8,87105.32,1,1,55346.14,0
Tate,437,France,Female,43,6,0,1,0,148330.97,1
Davis,741,France,Female,64,2,69311.16,1,1,59237.72,0
Bair,738,France,Male,26,9,0,1,1,48644.94,0
Drury,586,Spain,Female,33,10,66948.67,1,1,140759.03,0
Padovano,627,France,Female,57,9,0,1,1,107712.42,0
Conway,551,Spain,Male,76,2,128410.71,1,1,181718.73,0
Waters,606,France,Male,38,3,99897.53,0,0,37054.65,0
Kang,674,France,Male,22,3,0,1,1,173940.59,0
Martin,584,France,Female,31,6,152622.34,1,0,99298.8,0
Ugochukwutubelum,590,France,Male,40,8,0,1,0,62933.03,0
Burns,585,France,Male,56,4,138227.19,1,1,55287.84,0
Genovese,508,France,Female,25,2,111395.53,0,1,48197.06,0
Beale,458,France,Male,44,7,84386.57,1,0,178642.73,0
Cherkasova,692,France,Female,36,3,0,1,1,8282.22,0
Coles,502,France,Male,33,5,174673.65,1,0,33300.56,0
Potter,518,France,Male,46,3,0,1,0,76515.79,0
McMinn,660,France,Male,46,5,109019.65,1,1,33680.56,0
Bergamaschi,698,France,Female,52,1,107906.75,1,0,168886.39,1
Chijindum,678,France,Male,54,7,128914.97,0,0,191746.23,1
Ch'iu,773,Spain,Male,63,9,111179.83,1,1,93091.02,0
Yusupova,619,France,Female,52,8,124099.13,0,0,23904.52,0
Davis,684,France,Male,59,9,122471.09,0,1,15807.07,0
Iadanza,635,France,Male,34,3,134692.4,1,1,83773.02,0
Jordan,680,France,Female,25,4,123816.5,1,1,90162.35,0
Kruglova,608,France,Male,34,3,106288.54,1,1,36639.25,0
Echezonachukwu,603,France,Female,55,7,127723.25,1,0,139469.11,1
Hajek,579,Spain,Male,43,2,145843.82,1,1,198402.37,1
Welch,756,France,Female,34,2,148200.72,0,0,194584.48,0
Vinogradoff,611,France,Male,30,2,104145.65,0,0,159629.64,0
Hung,532,France,Male,24,8,142755.25,0,0,34231.48,0
Okwudiliolisa,684,France,Female,63,3,81245.79,1,0,69643.31,1
Mays,647,France,Female,33,3,168560.46,0,0,90270.16,0
Gardner,583,France,Male,38,8,0,1,0,47848.56,0
Mamelu,774,France,Male,42,2,132193.94,1,1,162865.52,0
Ross,677,France,Male,58,9,0,0,1,168650.4,0
Barese,542,France,Male,25,8,139330.1,0,0,54372.37,0
Swayne,613,Spain,Male,29,0,0,0,1,133897.32,0
Phillips,666,France,Male,40,5,0,1,0,147878.05,0
Manfrin,777,France,Female,28,2,134571.5,0,1,118313.38,0
Tan,581,France,Male,50,2,143829.2,1,0,181224.24,1
Adams,705,France,Male,32,7,0,1,0,7921.57,0
Teng,673,France,Female,44,8,133444.97,0,1,5708.19,0
Chinwendu,594,France,Female,23,4,104753.84,1,0,56756.52,1
Davison,648,France,Female,51,2,116574.84,1,0,4121.04,1
Hsing,605,France,Male,41,10,0,0,1,97213.09,0
Castro,734,France,Female,40,9,176914.8,1,1,12799.23,0
Parkin,572,France,Female,36,8,68348.18,0,1,50400.32,0
Manna,595,France,Female,33,9,0,1,1,41447.86,0
Fennescey,749,France,Male,42,2,56726.83,0,1,185543.35,0
Colon,573,Spain,Male,46,3,65269.23,0,1,189988.65,1
Yeh,624,Spain,Male,33,6,66220.17,0,1,170819.01,0
Bergamaschi,703,France,Male,56,9,0,0,0,85547.33,1
Matveyeva,665,France,Female,41,8,96147.55,1,0,137037.97,0
Ignatyeva,648,France,Male,42,4,0,1,0,19283.14,0
Lederer,850,Spain,Male,48,2,0,1,0,169425.3,1
Nwabugwu,569,France,Female,32,8,145330.43,1,1,132038.65,0
Abramowitz,566,France,Female,21,3,0,1,1,3626.47,0
Chapman,537,France,Female,47,4,124192.28,1,1,50881.51,0
Fiorentino,706,France,Female,46,7,111288.18,1,1,149170.25,1
Cecil,734,France,Male,43,7,107805.67,0,0,182505.68,0
Ikechukwu,586,France,Female,36,5,103700.69,1,0,194072.56,1
Allen,612,France,Female,38,1,0,1,1,9209.21,0
Kao,648,France,Male,34,0,0,1,1,167931.81,0
Hart,557,France,Female,27,3,87739.08,1,1,123096.56,0
Charlton,643,Spain,Female,20,0,133313.34,1,1,3965.69,0
Turnbull,433,France,Female,49,10,0,1,1,87711.61,0
Manners,643,France,Male,41,7,154902.66,1,1,49667.28,0
Chiazagomekpere,488,France,Female,36,0,0,1,0,136675.22,0
Lavrentyev,758,France,Male,68,6,112595.85,1,0,35865.44,1
Wallace,743,France,Male,39,3,119695.75,0,1,26136.13,0
Miller,730,France,Female,47,7,0,1,0,33373.26,1
Bazhenov,746,Spain,Male,49,7,0,0,1,10096.25,0
Ifesinachi,666,France,Female,59,8,152614.51,1,1,188782.3,0
Ma,580,France,Female,33,7,131647.01,0,0,79775.19,0
Chu,850,France,Male,27,6,96654.72,0,0,152740.16,0
Kerr,563,France,Male,22,3,137583.04,0,1,5791.85,0
Wynne,766,France,Female,28,3,62717.84,1,1,13182.43,0
Moon,659,France,Male,32,9,95377.13,0,1,187551.24,0
Disher,607,Spain,Male,28,1,135936.1,1,1,110560.14,0
Cattaneo,644,France,Male,35,5,161591.11,1,1,63795.62,0
Beluchi,746,France,Male,47,8,142382.03,1,1,62086.62,0
Mazzi,588,Spain,Male,33,2,0,1,1,12483.56,0
Ifeajuna,691,Spain,Male,30,9,0,0,1,10963.04,0
Howe,666,France,Female,38,6,127043.09,1,1,8247,0
Yocum,640,Spain,Female,46,3,0,1,1,156260.08,0
Moore,611,France,Female,29,4,78885.88,1,1,26927.69,0
Y?an,651,Spain,Female,45,8,95922.9,1,0,84782.42,1
Chinweuba,529,France,Female,29,8,0,1,0,19842.11,0
Lowrie,676,France,Female,36,3,91711.59,1,1,95393.43,0
Shen,639,France,Female,46,10,110031.09,1,1,133995.59,0
Lavarack,782,France,Male,36,5,81210.72,0,1,108003.38,0
Davide,641,France,Male,32,5,122947.92,1,1,99154.86,0
Gomes,697,France,Female,38,1,182065.85,1,0,49503.5,0
Matveyeva,623,France,Male,45,0,0,1,0,196533.72,1
Fiorentino,494,Spain,Female,41,2,69974.66,1,0,188426.13,1
Eberechukwu,731,France,Female,38,10,123711.73,1,0,171340.68,1
Gibney,657,France,Male,44,6,76495.04,1,0,79071.89,0
Virgo,744,France,Female,38,9,0,0,0,20940.76,0
Kulikova,774,Spain,Male,46,9,0,1,1,34774.26,0
Liu,850,France,Female,45,1,121874.89,0,0,6865.41,1
Kao,551,France,Female,45,6,0,1,1,51143.43,0
Foran,638,France,Male,36,6,188455.19,0,0,47031.4,1
Jones,792,France,Female,42,0,99045.93,1,0,47160.01,0
Fowler,666,France,Female,36,8,0,0,1,158666.99,0
Conti,716,France,Female,30,2,205770.78,0,0,65464.66,0
Stephenson,594,France,Female,31,0,79340.95,1,0,78255.86,0
Willis,600,France,Male,57,9,138456.03,1,1,103548.25,0
Ts'ui,565,France,Male,49,7,0,1,1,89609.26,0
Chibuzo,678,France,Male,48,2,101099.9,0,1,193476.04,0
Fang,648,Spain,Female,31,5,0,1,1,5199.02,0
Wyckoff,642,France,Male,40,8,109219.83,1,0,52827.51,0
Muir,706,France,Male,67,1,123276.69,1,1,86507.88,1
Halpern,668,Spain,Male,43,10,113034.31,1,1,100423.88,0
Flynn,635,Spain,Male,41,1,0,1,0,175611.5,0
Shao,603,Spain,Male,30,6,129548.5,1,1,19282.85,0
Soares,635,France,Female,72,4,74812.84,0,1,27448.33,0
Gallo,642,France,Female,40,7,0,1,0,183963.34,0
Lei,785,Spain,Female,54,1,0,1,0,45113.92,1
Daniels,628,France,Female,28,3,153538.13,1,0,110776.01,0
Kenechi,499,France,Female,38,9,0,0,1,183042.2,0
Singleton,567,Spain,Male,34,10,0,0,1,161571.79,0
Williams,449,Spain,Male,32,0,155619.36,1,1,166692.03,0
Greece,701,Spain,Male,35,10,159693.9,1,1,71173.64,0
Olisanugo,613,Spain,Male,37,3,171653.17,0,1,5353.12,0
Padovano,683,France,Female,39,2,47685.47,1,1,86019.48,0
Rossi,581,France,Male,35,4,0,0,1,86383.82,0
Grant,620,France,Male,61,5,0,0,0,31641.52,1
Ebelegbulam,561,Spain,Male,28,6,123692,1,1,70548.96,0
Mitchell,558,France,Male,26,1,148853.29,1,1,24411.02,0
Buckley,642,France,Male,35,2,133161.95,0,1,122254.86,0
Repina,805,France,Male,24,6,143221.35,1,0,186035.72,0
Ellis,687,France,Male,35,9,0,0,1,73133.82,0
Douglas,695,Spain,Male,56,1,0,1,0,187734.49,1
Becher,562,France,Male,33,6,0,1,0,111590.35,0
Nwachukwu,613,France,Male,38,9,126265.88,0,0,15859.95,0
Smith,589,France,Male,37,5,0,1,0,61324.87,0
Aksyonov,593,Spain,Male,31,8,112713.34,1,1,176868.89,0
Artyomova,714,France,Male,34,5,141173.03,0,1,98896.06,0
Medvedeva,588,Spain,Female,35,7,0,1,1,108739.15,0
Tsui,679,Spain,Male,39,6,0,1,0,12266.06,0
Runyon,730,Spain,Male,38,5,118866.36,1,1,163317.5,0
Gallo,833,France,Male,47,2,0,1,1,182247.77,0
Bradshaw,586,Spain,Female,33,7,0,1,1,168261.4,0
Evans,567,Spain,Female,54,5,92316.31,1,0,158590.66,1
Hancock,637,France,Male,30,1,122185.53,1,0,102566.46,1
Butler,711,France,Male,38,4,123345.85,1,0,141827.83,0
Bradshaw,828,France,Male,30,4,73070.18,0,0,161671.15,0
Bergamaschi,500,Spain,Male,38,7,0,0,0,192013.23,0
Ebelegbulam,807,France,Male,47,1,95120.59,0,0,127875.1,0
Greco,850,France,Male,40,8,102800.65,1,0,60811.56,0
Lucas,782,France,Female,70,7,97072.42,0,1,131177.22,0
Barber,629,Spain,Male,31,6,132876.55,1,1,130862.11,0
Dobbs,582,Spain,Male,33,6,0,0,1,72970.93,0
Thomson,468,France,Male,22,2,0,1,0,28123.99,0
Su,670,France,Male,36,3,0,1,0,140754.19,1
Watkins,805,France,Male,39,2,0,0,0,166650.32,0
Ch'ien,720,France,Male,26,10,51962.91,1,0,45507.24,0
Monds,781,Spain,Female,29,6,98759.89,0,0,112202.64,0
McClemans,592,France,Male,33,2,156570.86,1,1,37140.2,0
Shen,542,France,Female,42,1,0,1,1,178256.58,1
Gallo,532,France,Male,42,1,159024.71,1,0,100982.93,1
Foveaux,520,France,Female,39,1,73493.17,0,1,109626.13,1
Longo,759,France,Female,45,8,0,1,1,99251.24,0
Calabresi,473,France,Female,35,6,69617.36,1,0,143345.69,0
Randall,639,Spain,Female,35,5,136526.26,1,0,59653.03,0
Garcia,705,France,Male,25,3,113736.27,0,1,196864.61,0
Sullivan,530,France,Male,52,1,106723.28,0,0,109960.4,1
Higgins,516,France,Female,33,10,138847.9,1,1,127256.7,0
Crawford,850,France,Female,40,0,0,1,0,1099.95,0
Martin,746,France,Female,33,2,107868.14,1,1,146192.4,0
Currey,622,France,Male,33,3,96926.12,1,0,48553.77,0
Teng,743,France,Male,30,7,77599.23,0,0,144407.1,0
Austin,732,France,Male,38,5,178787.54,1,1,195760.53,0
Hudson,850,France,Male,81,5,0,1,1,44827.47,0
Ts'ui,850,France,Female,34,3,129668.43,1,1,88743.99,0
Hancock,686,France,Male,34,6,146178.13,1,1,88837.11,0
Nicholas,556,France,Female,40,8,0,1,0,62112.7,0
Napolitano,673,France,Male,37,4,0,0,0,163563.07,0
Jamieson,809,France,Female,38,2,154763.21,1,1,174800.31,0
Foster,634,France,Female,56,3,116251.24,0,1,42429.88,1
Moretti,630,France,Male,37,6,0,1,1,82647.65,0
Chiedozie,564,France,Female,30,0,100954.88,0,0,134175.15,0
Okwukwe,625,France,Female,51,4,124620.01,1,0,92243.94,1
Lumholtz,677,Spain,Female,34,4,0,1,1,6175.53,0
Rose,583,France,Male,40,9,112701.04,0,0,29213.63,0
Wan,592,Spain,Male,45,8,84692.5,0,1,67214.02,0
De Bernales,637,France,Male,49,2,108204.52,1,0,169037.84,1
Ch'eng,850,France,Male,30,6,86449.39,1,1,188809.23,0
Edmondson,633,Spain,Male,42,10,0,0,1,79408.17,0
Ch'ien,751,France,Male,36,5,73194.99,1,1,89222.66,0
Millar,592,France,Male,31,7,124593.23,1,0,86079.67,0
Dickson,716,France,Male,50,2,119655.77,1,1,12944.17,1
Toscani,641,France,Male,42,3,121765.37,1,1,166516.84,0
Pan,849,France,Male,35,4,110837.73,0,0,126419.8,0
Chigozie,647,Spain,Male,47,10,99835.17,0,1,89103.05,0
Sagese,608,France,Female,30,2,91057.37,1,0,132973.17,0
Reilly,555,France,Female,26,7,0,1,0,93122.41,0
Taylor,497,Spain,Male,27,7,149400.27,0,0,167522.19,0
Yen,599,France,Male,38,9,89111.63,0,0,157239.6,0
Kapustin,545,France,Male,33,1,132527.9,0,1,107429.71,0
Singh,774,France,Female,36,9,114997.42,1,0,75304.09,0
Yeh,464,France,Male,46,6,161798.53,1,0,182944.47,0
Genovese,696,France,Female,27,2,96129.32,1,1,5983.7,0
Boyle,667,Spain,Male,45,3,0,0,0,163655.01,0
Blair,812,France,Male,32,5,133050.97,1,0,89385.92,0
Okagbue,516,France,Male,51,8,120124.35,0,1,168773.54,0
Khan,645,France,Male,39,8,0,0,0,96864.36,0
Robertson,664,Spain,Male,32,5,133705.74,0,0,134455.84,0
Tikhonov,427,Spain,Female,39,9,0,1,0,28368.37,0
MacDonald,685,France,Female,40,7,0,1,0,103898.59,0
Ah Mouy,585,France,Female,33,4,152805.05,1,0,63239.65,0
Barese,519,France,Female,21,1,151701.45,1,1,170138.68,1
Winter-Irving,708,France,Female,67,1,0,0,1,3837.08,0
Wilson,717,France,Female,22,5,112465.06,1,1,92977.75,0
Fiorentino,465,France,Male,24,6,156007.09,1,0,191368.37,0
Iloerika,829,France,Male,28,3,132405.52,1,0,104889.2,1
Davison,826,France,Male,26,5,142662.68,0,0,60285.3,0
Hamilton,747,France,Male,36,8,102603.3,1,1,180693.61,0
Nnachetam,707,Spain,Male,32,9,0,1,0,126475.79,0
Blue,590,Spain,Male,37,1,0,0,0,133535.99,0
Madukwe,603,Spain,Male,57,6,105000.85,1,1,87412.24,1
Mills,615,France,Male,45,5,0,1,1,164886.64,0
Ferrari,634,France,Female,36,1,69518.95,1,0,116238.39,0
Nixon,716,France,Male,41,8,126145.54,1,1,138051.19,0
Manfrin,647,France,Male,41,4,138937.35,1,1,101617.64,1
McCartney,591,France,Female,44,10,113581.98,1,0,1985.41,0
Robinson,574,France,Male,34,1,112572.39,0,0,165626.6,0
Nkemdirim,467,France,Male,51,10,114514.71,1,0,177784.68,1
Sal,701,France,Female,35,2,0,1,1,65765.22,0
Kao,747,France,Female,34,10,0,1,1,50759.8,0
Ikechukwu,650,France,Male,32,2,84906.45,1,0,163216.48,0
Hargreaves,731,Spain,Female,39,2,126816.18,1,1,74850.93,0
Sievier,638,France,Female,26,1,105249.76,1,1,23491.09,0
Murphy,569,Spain,Male,41,2,0,1,0,134272.57,0
Munro,459,France,Male,50,5,109387.9,1,0,155721.15,0
Donnelly,632,France,Male,23,3,122478.51,1,0,147230.77,1
North,683,France,Female,73,8,137732.23,1,1,133210.44,0
Cruz,850,France,Female,46,2,157866.77,1,1,18986.12,0
Sinclair,512,France,Female,41,6,0,1,1,100507.81,0
Vasiliev,616,France,Female,31,3,136789.14,1,0,59346.4,1
Vasilyeva,664,France,Male,36,1,0,1,1,95372.64,0
Hamilton,694,France,Male,30,10,144684.03,1,1,31805.49,0
Sung,655,France,Male,24,9,107065.31,1,1,51959.82,0
Genovesi,607,France,Female,33,8,91301.72,0,1,130824.57,0
Atkinson,684,Spain,Male,39,4,207034.96,0,0,157694.76,1
Watterston,763,Spain,Male,37,8,0,1,1,933.38,0
Butters,671,Spain,Male,50,8,0,0,1,2560.11,0
Chien,592,Spain,Male,38,3,0,1,1,12905.89,1
Gorbunova,666,Spain,Female,36,6,0,1,0,176692.87,0
Bulgakov,667,France,Male,34,5,0,1,1,102908.63,0
Steele,850,Spain,Male,36,6,0,0,1,41291.05,0
Polyakova,622,Spain,Male,42,9,0,1,0,119127.06,0
Bull,577,France,Female,30,8,92472.1,0,1,126434.61,0
Weaver,555,Spain,Male,21,1,0,0,0,103901.35,0
Earl,547,France,Male,62,10,127738.75,1,1,85153,0
Giordano,613,France,Female,50,5,101242.98,1,0,12493.61,0
Begg,672,France,Female,43,4,92599.55,1,1,167336.78,0
Pickering,624,Spain,Female,36,10,0,0,1,186180.42,0
Fanucci,698,Spain,Female,50,1,0,1,0,88566.9,1
Chang,606,France,Male,37,6,82373.94,0,0,172526.9,1
Sopuluchi,720,Spain,Male,31,4,141356.47,0,0,137985.69,0
Martin,835,France,Male,23,9,0,1,0,19793.73,1
McNaughtan,771,Spain,Female,47,3,72664,1,1,107874.39,0
Stewart,811,France,Female,47,3,123365.34,0,0,171995.34,0
Reagan,734,France,Male,33,5,121898.58,1,0,61829.89,0
Heller,548,Spain,Male,33,6,0,1,1,31728.35,0
Nwokeocha,652,France,Female,31,3,103696.97,0,0,155221.05,1
Liu,707,France,Male,33,2,0,0,0,130866.95,0
Sokolova,605,France,Female,56,1,74129.18,1,1,62199.78,1
Bancroft,623,France,Female,34,9,0,1,0,24255.21,0
Nnanna,686,France,Male,29,3,185379.02,1,0,64679.07,0
Trevisani,525,France,Female,47,1,118087.68,1,0,88120.78,1
Nwachinemelu,657,Spain,Male,41,8,109402.13,1,1,66463.62,0
Ting,730,France,Female,33,7,130367.87,1,0,15142.1,1
Lo Duca,816,France,Female,34,2,108410.87,1,0,102908.91,0
Marshall,484,France,Female,50,2,90408.16,0,0,48170.57,0
Band,728,France,Female,34,6,90425.15,1,1,11597.69,0
Ferri,730,Spain,Female,39,6,140094.59,1,0,172450.04,1
Carter,477,Spain,Male,31,9,0,0,1,184061.17,0
Wilson,663,France,Female,46,6,95439.4,1,1,21038.58,1
Connor,549,France,Male,34,6,204017.4,1,0,109538.35,0
Reid,714,Spain,Male,29,9,0,1,0,129192.55,0
Sandefur,430,France,Male,49,3,137115.16,1,0,146516.86,1
Bidwill,504,France,Male,43,5,134740.19,1,0,181430.91,0
Cone,530,France,Female,29,5,0,0,0,121451.21,0
Saunders,619,France,Male,29,4,98955.87,0,1,131712.51,0
Liardet,617,France,Male,44,9,49157.09,1,0,53294.17,0
Wilkes,791,France,Male,31,1,130240.33,0,0,96546.55,0
Martin,609,France,Male,48,1,108019.27,1,1,184524.65,1
Boni,780,France,Male,51,4,126725.25,1,0,195259.31,1
Patel,777,France,Female,34,5,96693.66,1,1,172618.52,0
Howell-Price,817,France,Female,27,7,129810.6,1,1,59259.44,0
Simpson,850,France,Male,58,8,156652.13,0,0,25899.21,1
Rowland,732,France,Female,36,9,0,0,0,3749,1
Barnard,693,France,Male,40,4,130661.96,1,1,101918.96,0
Nnonso,576,France,Female,50,8,0,1,1,57802.62,0
Rossi,643,France,Male,37,6,0,0,0,142454.77,0
Pendred,757,France,Male,47,3,130747.1,1,0,143829.54,0
Martin,569,France,Male,30,6,106629.49,0,1,44114.88,0
K?,772,Spain,Male,36,3,112029.83,1,1,186948.35,0
Miller,576,France,Male,29,7,130575.26,0,1,173629.78,0
Afamefula,608,France,Male,28,4,96679.71,1,1,49133.45,0
Sims,794,France,Male,33,0,0,0,0,178122.71,0
Knight,593,France,Male,50,6,171740.69,0,0,20893.61,0
Obijiaku,597,Spain,Male,38,1,0,1,0,41303.29,0
Hopkins,541,France,Female,39,9,100116.67,1,1,199808.1,1
Onio,692,France,Male,24,2,120596.93,0,1,180490.53,0
Black,697,France,Female,48,1,0,1,1,87400.53,0
Eluemuno,768,France,Male,29,2,95984.69,1,1,73686.75,0
Doyle,802,France,Male,38,1,142557.11,1,1,172497.73,0
Onyemere,584,France,Male,47,5,0,1,0,89286.29,0
Rahman,614,Spain,Male,66,2,0,0,1,180082.7,0
Su,850,France,Female,36,6,143644.16,1,0,22102.25,1
Walker,671,France,Female,38,6,132129.72,0,1,76068.95,0
Ferguson,626,France,Female,52,0,0,1,0,32159.46,1
Samaniego,770,France,Female,68,2,183555.24,0,0,159557.28,1
Onwumelu,633,France,Male,38,2,91902.56,1,1,107673.35,0
Young,663,France,Male,40,6,156218.19,0,1,33607.72,0
Mazzi,581,France,Female,43,5,93259.57,1,0,141035.65,1
Toscano,561,France,Female,45,2,168085.38,0,1,115719.08,0
Walton,479,France,Male,51,1,107714.74,1,0,86128.21,1
Chiang,769,France,Female,31,6,117852.26,1,0,147668.64,0
Burgos,659,Spain,Male,60,2,0,1,0,177480.45,1
Spinelli,590,Spain,Female,51,10,84474.62,1,1,190937.09,0
Lung,560,France,Male,50,3,0,1,0,84531.79,0
Noble,437,France,Male,35,6,126803.34,1,1,161133.4,0
Pai,661,France,Female,34,0,0,1,0,185555.63,0
Chigozie,677,France,Female,36,10,68806.84,1,0,33075.24,0
Peavy,560,France,Female,31,3,115141.18,1,0,39806.75,0
Yermakov,578,France,Female,35,2,0,0,1,26389.92,0
Burton,421,Spain,Male,34,6,90723.36,1,1,12162.76,0
Costa,492,France,Female,49,2,151249.45,1,1,167237.94,0
Pugliesi,545,France,Female,32,6,0,1,1,52067.37,0
Lindell,640,France,Female,43,9,94752.49,1,0,184006.36,1
Sorenson,624,Spain,Female,34,6,0,1,0,582.59,1
Arcuri,577,Spain,Male,28,7,0,1,0,143274.41,0
Banks,704,France,Male,31,5,132084.66,1,1,54474.48,1
Parry,523,France,Male,45,5,0,1,1,121428.2,0
Cockett,793,France,Male,35,2,0,1,1,79704.12,0
Galkina,564,France,Female,53,2,45472.28,1,1,41055.71,1
Su,711,France,Male,33,1,0,0,0,41590.4,0
Marino,791,France,Female,33,10,130229.71,0,0,54019.93,1
Spears,629,France,Female,38,9,123948.85,1,0,76053.07,0
Cunningham,729,France,Male,39,6,127415.85,1,1,184977.2,1
Taylor,651,France,Male,35,8,110067.71,1,0,127678.95,1
Chiazagomekpere,695,Spain,Male,39,4,65521.2,1,1,1243.97,0
Hardacre,847,Spain,Male,31,5,0,1,1,76326.67,0
Maslow,704,France,Male,47,5,0,1,1,145338.61,0
Scott,613,France,Male,33,3,155736.42,1,1,57751.21,0
Wakelin,692,Spain,Female,29,4,0,0,0,138880.24,0
Esposito,720,France,Female,34,3,118307.57,1,1,136120.29,0
Shah,577,France,Male,41,6,0,1,1,167621.18,0
Chukwufumnanya,710,France,Female,24,7,103099.17,1,0,173276.62,0
Fleming,716,France,Female,38,1,0,1,1,99661.46,0
Lori,410,France,Male,33,6,125789.69,0,0,66333.56,1
Kennedy,584,France,Female,36,4,109646.83,1,1,70240.79,0
Walters,792,France,Male,30,1,127187.86,1,1,113553.42,0
Han,605,France,Female,36,6,0,0,1,690.84,0
Lawrence,486,Spain,Male,24,1,0,1,0,98802.76,0
Cooke,615,France,Male,41,4,130385.82,0,1,130661.95,0
Wan,676,France,Male,23,1,107787.47,0,1,116378.82,0
Lo Duca,571,France,Male,34,1,99325.04,0,1,186052.15,0
Yermakova,850,France,Female,37,9,0,0,0,100101.06,0
Combs,717,France,Male,48,7,123764.95,1,1,169952.82,0
Chien,642,France,Female,39,8,128264.03,1,0,61792.76,1
Meng,780,Spain,Male,47,7,86006.21,1,1,37973.13,0
Calabresi,492,France,Female,38,8,57068.43,1,0,188974.81,0
Stevenson,760,France,Male,29,5,103607.24,0,1,86334.64,0
Davidson,500,Spain,Male,40,1,99004.24,1,1,152845.99,0
Ch'in,654,Spain,Female,36,2,0,1,1,146652.11,0
Rose,606,Spain,Female,25,3,147386.72,1,0,45482.04,1
Ch'ien,367,Spain,Male,42,6,93608.28,1,0,168816.73,1
Artyomova,799,Spain,Male,38,2,0,1,1,59297.34,0
Mayrhofer,434,France,Male,71,9,119496.87,1,0,125848.88,0
Yefremov,719,Spain,Female,32,7,0,0,0,76264.27,0
Kosovich,641,France,Female,37,2,0,1,0,3939.87,0
Lu,461,Spain,Female,25,6,0,1,1,15306.29,0
Taplin,790,France,Female,25,5,152885.77,1,0,58214.79,0
